0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
HK.00168,HK.00236,HK.00291,HK.00305,HK.00411,HK.00526,HK.01134,HK.01539,HK.01876,HK.01942,HK.08150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00302,HK.01948,HK.02400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00285,HK.00336,HK.02182,HK.03318,HK.06055,HK.06969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01003,HK.01060,HK.01896,HK.01970,HK.02125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00095,HK.00152,HK.00285,HK.00548,HK.00604,HK.01211,HK.01638,HK.03380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00291,HK.00520,HK.00788,HK.00853,HK.00881,HK.00909,HK.00914,HK.00956,HK.01091,HK.01209,HK.01302,HK.01368,HK.01516,HK.01521,HK.01530,HK.01548,HK.01666,HK.01789,HK.01801,HK.01877,HK.01951,HK.01952,HK.02096,HK.02126,HK.02142,HK.02148,HK.02160,HK.02162,HK.02186,HK.02190,HK.02252,HK.02359,HK.02500,HK.03347,HK.03600,HK.03606,HK.03690,HK.03692,HK.03868,HK.06049,HK.06078,HK.06160,HK.06608,HK.06618,HK.06622,HK.06699,HK.06862,HK.06993,HK.06996,HK.06998,HK.08083,HK.09666,HK.09983,HK.09995,HK.09996,HK.09997,,,,,,,,,,,,,,,,,,,,
HK.00241,HK.00376,HK.01060,HK.01336,HK.02601,HK.02628,HK.03818,HK.06808,HK.09988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00073,HK.00210,HK.00248,HK.00254,HK.00353,HK.00357,HK.00482,HK.00487,HK.00495,HK.00531,HK.00565,HK.00601,HK.00733,HK.00768,HK.01022,HK.01026,HK.01172,HK.01189,HK.01237,HK.01317,HK.01498,HK.01620,HK.01660,HK.01842,HK.01843,HK.01898,HK.01905,HK.01935,HK.01989,HK.01993,HK.02100,HK.02159,HK.02279,HK.06805,HK.06860,HK.06996,HK.08005,HK.08133,HK.08219,HK.08220,HK.08245,HK.08249,HK.08275,HK.08277,HK.08293,HK.08363,HK.08448,HK.08526,HK.08619,HK.09626,HK.09869,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00268,HK.00354,HK.00596,HK.00700,HK.00856,HK.00861,HK.01860,HK.03888,HK.09988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00020,HK.00816,HK.01228,HK.01406,HK.01948,HK.02121,HK.02157,HK.02185,HK.02197,HK.02210,HK.02250,HK.02251,HK.02252,HK.02257,HK.02260,HK.02265,HK.02270,HK.02273,HK.02276,HK.02279,HK.02285,HK.06633,HK.06639,HK.06655,HK.06680,HK.06821,HK.07836,HK.09699,HK.09866,HK.09878,HK.09898,HK.09899,HK.09956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
